"REF_DATE","GEO","DGUID","Divorces","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1976","British Columbia","","Divorces","Number","223","units ","0","v109","11.1","8231","","","","0"
"1976","Yukon","","Divorces","Number","223","units ","0","v110","12.1","67","","","","0"
"1976","Northwest Territories including Nunavut","","Divorces","Number","223","units ","0","v111","13.1","58","","","t","0"
"1977","Canada","","Divorces","Number","223","units ","0","v107","1.1","55370","","","","0"
"1977","Newfoundland and Labrador","","Divorces","Number","223","units ","0","v108","2.1","456","","","","0"
"1977","Prince Edward Island","","Divorces","Number","223","units ","0","v112","3.1","136","","","","0"
"1977","Nova Scotia","","Divorces","Number","223","units ","0","v113","4.1","1802","","","","0"
"1977","New Brunswick","","Divorces","Number","223","units ","0","v114","5.1","961","","","","0"
"1977","Quebec","","Divorces","Number","223","units ","0","v115","6.1","14501","","","","0"
"1977","Ontario","","Divorces","Number","223","units ","0","v116","7.1","19735","","","","0"
"1977","Manitoba","","Divorces","Number","223","units ","0","v117","8.1","2085","","","","0"
"1977","Saskatchewan","","Divorces","Number","223","units ","0","v118","9.1","1474","","","","0"
"1977","Alberta","","Divorces","Number","223","units ","0","v119","10.1","5843","","","","0"
"1977","British Columbia","","Divorces","Number","223","units ","0","v109","11.1","8251","","","","0"
"1977","Yukon","","Divorces","Number","223","units ","0","v110","12.1","59","","","","0"
"1977","Northwest Territories including Nunavut","","Divorces","Number","223","units ","0","v111","13.1","67","","","t","0"
"1978","Canada","","Divorces","Number","223","units ","0","v107","1.1","57155","","","","0"
"1978","Newfoundland and Labrador","","Divorces","Number","223","units ","0","v108","2.1","427","","","","0"
"1978","Prince Edward Island","","Divorces","Number","223","units ","0","v112","3.1","135","","","","0"
"1978","Nova Scotia","","Divorces","Number","223","units ","0","v113","4.1","1960","","","","0"
"1978","New Brunswick","","Divorces","Number","223","units ","0","v114","5.1","1153","","","","0"
"1978","Quebec","","Divorces","Number","223","units ","0","v115","6.1","14865","","","","0"
"1978","Ontario","","Divorces","Number","223","units ","0","v116","7.1","20534","","","","0"
"1978","Manitoba","","Divorces","Number","223","units ","0","v117","8.1","2187","","","","0"
"1978","Saskatchewan","","Divorces","Number","223","units ","0","v118","9.1","1428","","","","0"
"1978","Alberta","","Divorces","Number","223","units ","0","v119","10.1","6059","","","","0"
"1978","British Columbia","","Divorces","Number","223","units ","0","v109","11.1","8265","","","","0"
"1978","Yukon","","Divorces","Number","223","units ","0","v110","12.1","65","","","","0"
"1978","Northwest Territories including Nunavut","","Divorces","Number","223","units ","0","v111","13.1","77","","","t","0"
"1979","Canada","","Divorces","Number","223","units ","0","v107","1.1","59474","","","","0"
"1979","Newfoundland and Labrador","","Divorces","Number","223","units ","0","v108","2.1","483","","","","0"
"1979","Prince Edward Island","","Divorces","Number","223","units ","0","v112","3.1","144","","","","0"
"1979","Nova Scotia","","Divorces","Number","223","units ","0","v113","4.1","2275","","","","0"
"1979","New Brunswick","","Divorces","Number","223","units ","0","v114","5.1","1223","","","","0"
"1979","Quebec","","Divorces","Number","223","units ","0","v115","6.1","14379","","","","0"
"1979","Ontario","","Divorces","Number","223","units ","0","v116","7.1","21793","","","","0"
"1979","Manitoba","","Divorces","Number","223","units ","0","v117","8.1","2152","","","","0"
"1979","Saskatchewan","","Divorces","Number","223","units ","0","v118","9.1","1528","","","","0"
"1979","Alberta","","Divorces","Number","223","units ","0","v119","10.1","6531","","","","0"
"1979","British Columbia","","Divorces","Number","223","units ","0","v109","11.1","8826","","","","0"
"1979","Yukon","","Divorces","Number","223","units ","0","v110","12.1","62","","","","0"
"1979","Northwest Territories including Nunavut","","Divorces","Number","223","units ","0","v111","13.1","78","","","t","0"
"1980","Canada","","Divorces","Number","223","units ","0","v107","1.1","62019","","","","0"
"1980","Newfoundland and Labrador","","Divorces","Number","223","units ","0","v108","2.1","555","","","","0"
"1980","Prince Edward Island","","Divorces","Number","223","units ","0","v112","3.1","163","","","","0"
"1980","Nova Scotia","","Divorces","Number","223","units ","0","v113","4.1","2314","","","","0"
"1980","New Brunswick","","Divorces","Number","223","units ","0","v114","5.1","1326","","","","0"
"1980","Quebec","","Divorces","Number","223","units ","0","v115","6.1","13899","","","","0"
"1980","Ontario","","Divorces","Number","223","units ","0","v116","7.1","22442","","","","0"
"1980","Manitoba","","Divorces","Number","223","units ","0","v117","8.1","2282","","","","0"
"1980","Saskatchewan","","Divorces","Number","223","units ","0","v118","9.1","1836","","","","0"
"1980","Alberta","","Divorces","Number","223","units ","0","v119","10.1","7580","","","","0"
"1980","British Columbia","","Divorces","Number","223","units ","0","v109","11.1","9464","","","","0"
"1980","Yukon","","Divorces","Number","223","units ","0","v110","12.1","82","","","","0"
"1980","Northwest Territories including Nunavut","","Divorces","Number","223","units ","0","v111","13.1","76","","","t","0"
"1981","Canada","","Divorces","Number","223","units ","0","v107","1.1","67671","","","","0"
