REF_DATE,GEO,DGUID,Duration of marriage,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,"Duration of marriage, 17 years",Number,223,units ,0,v42139351,2.23,16,,,,0
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,"Duration of marriage, 18 years",Number,223,units ,0,v42139352,2.24,38,,,,0
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,"Duration of marriage, 19 years",Number,223,units ,0,v42139353,2.25,21,,,,0
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,"Duration of marriage, 20 to 24 years",Number,223,units ,0,v42139354,2.26,107,,,,0
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,"Duration of marriage, 20 years",Number,223,units ,0,v42139355,2.27,17,,,,0
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,"Duration of marriage, 21 years",Number,223,units ,0,v42139356,2.28,30,,,,0
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,"Duration of marriage, 22 years",Number,223,units ,0,v42139357,2.29,21,,,,0
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,"Duration of marriage, 23 years",Number,223,units ,0,v42139358,2.3,23,,,,0
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,"Duration of marriage, 24 years",Number,223,units ,0,v42139359,2.31,16,,,,0
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,"Duration of marriage, 25 to 29 years",Number,223,units ,0,v42139360,2.32,79,,,,0
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,"Duration of marriage, 25 years",Number,223,units ,0,v42139361,2.33,15,,,,0
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,"Duration of marriage, 26 years",Number,223,units ,0,v42139362,2.34,29,,,,0
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,"Duration of marriage, 27 years",Number,223,units ,0,v42139363,2.35,8,,,,0
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,"Duration of marriage, 28 years",Number,223,units ,0,v42139364,2.36,9,,,,0
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,"Duration of marriage, 29 years",Number,223,units ,0,v42139365,2.37,18,,,,0
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,"Duration of marriage, 30 to 34 years",Number,223,units ,0,v42139366,2.38,50,,,,0
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,"Duration of marriage, 35 to 39 years",Number,223,units ,0,v42139367,2.39,20,,,,0
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,"Duration of marriage, 40 to 44 years",Number,223,units ,0,v42139368,2.4,3,,,,0
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,"Duration of marriage, 45 to 49 years",Number,223,units ,0,v42139369,2.41,5,,,,0
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,"Duration of marriage, 50 years and over",Number,223,units ,0,v42139370,2.42,2,,,,0
2004,"Newfoundland and Labrador, place of occurrence",2016A000210,"Duration of marriage, not stated",Number,223,units ,0,v42139371,2.43,0,,,,0
